caseid,educ,satjob
1,16,A Little Dissat
2,10,NA
3,12,Mod. Satisfied
4,17,Very Satisfied
5,12,NA
6,14,Mod. Satisfied
7,13,Very Satisfied
8,16,A Little Dissat
9,12,Mod. Satisfied
10,12,Mod. Satisfied
11,13,NA
12,6,Very Satisfied
13,9,Very Satisfied
14,8,Mod. Satisfied
15,9,Very Satisfied
16,14,Mod. Satisfied
17,14,NA
18,8,NA
19,17,Very Satisfied
20,14,NA
21,12,Very Satisfied
22,11,Very Satisfied
23,13,Mod. Satisfied
24,12,NA
25,16,NA
26,12,Mod. Satisfied
27,12,Mod. Satisfied
28,12,A Little Dissat
29,12,Mod. Satisfied
30,9,Very Satisfied
31,6,Mod. Satisfied
32,14,Very Satisfied
33,16,NA
34,8,NA
35,12,Mod. Satisfied
36,14,Mod. Satisfied
37,13,NA
38,10,NA
39,6,Mod. Satisfied
40,12,Mod. Satisfied
41,8,NA
42,14,Very Satisfied
43,8,Mod. Satisfied
44,8,NA
45,8,NA
46,12,NA
47,14,Very Satisfied
48,12,Very Satisfied
49,9,Mod. Satisfied
50,8,Mod. Satisfied
51,10,Very Satisfied
52,14,Mod. Satisfied
53,9,Very Satisfied
54,12,NA
55,10,NA
56,12,Mod. Satisfied
57,14,NA
58,12,NA
59,12,Very Satisfied
60,11,Very Satisfied
61,12,Mod. Satisfied
62,9,NA
63,12,Mod. Satisfied
64,11,Very Satisfied
65,12,Very Satisfied
66,8,NA
67,12,Mod. Satisfied
68,12,Mod. Satisfied
69,12,Mod. Satisfied
70,16,NA
71,7,Very Satisfied
72,12,NA
73,8,NA
74,11,NA
75,12,Very Dissatisfied
76,16,Mod. Satisfied
77,10,Mod. Satisfied
78,8,NA
79,14,Very Satisfied
80,12,Very Satisfied
81,7,Very Satisfied
82,12,Mod. Satisfied
83,15,Very Satisfied
84,15,NA
85,14,NA
86,17,A Little Dissat
87,20,Very Dissatisfied
88,18,Mod. Satisfied
89,17,Very Satisfied
90,14,Very Dissatisfied
91,16,NA
92,12,Very Satisfied
93,13,NA
94,14,Mod. Satisfied
95,16,NA
96,14,Very Satisfied
97,15,Very Satisfied
98,16,NA
99,15,Very Satisfied
100,12,NA
101,9,Mod. Satisfied
102,13,Mod. Satisfied
103,12,NA
104,15,Very Satisfied
105,12,Mod. Satisfied
106,8,NA
107,12,NA
108,13,Very Satisfied
109,16,NA
110,13,NA
111,3,Mod. Satisfied
112,12,NA
113,10,NA
114,14,Mod. Satisfied
115,12,NA
116,14,NA
117,8,NA
118,11,NA
119,2,NA
120,12,NA
121,12,NA
122,6,Very Satisfied
123,3,NA
124,8,NA
125,8,NA
126,12,Very Satisfied
127,16,Very Satisfied
128,12,NA
129,9,NA
130,12,NA
131,6,NA
132,12,A Little Dissat
133,15,Very Satisfied
134,8,NA
135,11,NA
136,4,Very Satisfied
137,13,A Little Dissat
138,8,Very Satisfied
139,11,NA
140,12,NA
141,12,Mod. Satisfied
142,12,NA
143,14,Very Dissatisfied
144,10,NA
145,5,NA
146,16,NA
147,12,Very Dissatisfied
148,2,NA
149,10,Very Satisfied
150,12,Very Satisfied
151,12,Very Satisfied
152,12,Mod. Satisfied
153,10,Very Satisfied
154,11,NA
155,12,NA
156,12,NA
157,11,Mod. Satisfied
158,12,NA
159,12,Mod. Satisfied
160,9,Very Satisfied
161,12,Very Satisfied
162,9,Mod. Satisfied
163,8,Mod. Satisfied
164,10,Very Satisfied
165,18,Very Satisfied
166,18,Very Satisfied
167,18,Very Satisfied
168,12,Mod. Satisfied
169,14,NA
170,12,Very Satisfied
171,12,NA
172,12,Mod. Satisfied
173,10,Very Satisfied
174,10,NA
175,19,Very Satisfied
176,16,Very Satisfied
177,14,NA
178,9,Very Dissatisfied
179,16,Mod. Satisfied
180,12,NA
181,10,Mod. Satisfied
182,12,NA
183,1,NA
184,5,NA
185,6,Very Satisfied
186,1,NA
187,2,Mod. Satisfied
188,14,Mod. Satisfied
189,16,Very Satisfied
190,18,Very Satisfied
191,15,Mod. Satisfied
192,18,Very Satisfied
193,16,Very Satisfied
194,12,Very Satisfied
195,12,NA
196,12,Very Satisfied
197,9,Very Satisfied
198,12,Mod. Satisfied
199,12,Mod. Satisfied
