caseid,year,age,sex,race
1,1972,23,Female,White
2,1972,70,Male,White
3,1972,48,Female,White
4,1972,27,Female,White
5,1972,61,Female,White
6,1972,26,Male,White
7,1972,28,Male,White
8,1972,27,Male,White
9,1972,21,Female,Black
10,1972,30,Female,Black
11,1972,30,Female,Black
12,1972,56,Male,Black
13,1972,54,Male,Black
14,1972,49,Female,Black
15,1972,41,Male,Black
16,1972,54,Male,Black
17,1972,24,Male,White
18,1972,62,Female,White
19,1972,46,Female,White
20,1972,21,Female,White
21,1972,57,Male,White
22,1972,58,Male,White
23,1972,21,Male,White
24,1972,26,Female,White
25,1972,71,Female,White
26,1972,53,Female,White
27,1972,42,Male,White
28,1972,42,Female,White
29,1972,20,Male,White
30,1972,23,Male,White
31,1972,26,Male,White
32,1972,25,Female,White
33,1972,26,Male,White
34,1972,78,Female,White
35,1972,21,Male,White
36,1972,27,Male,White
37,1972,58,Female,White
38,1972,35,Female,White
39,1972,58,Male,White
40,1972,51,Female,White
41,1972,76,Female,White
42,1972,53,Male,White
43,1972,39,Male,White
44,1972,64,Female,White
45,1972,50,Female,White
46,1972,27,Female,White
47,1972,25,Male,White
48,1972,49,Male,White
49,1972,40,Male,White
50,1972,43,Male,White
51,1972,46,Male,White
52,1972,37,Male,White
53,1972,46,Male,White
54,1972,22,Female,White
55,1972,53,Female,White
56,1972,35,Male,White
57,1972,31,Female,White
58,1972,30,Female,White
59,1972,37,Female,White
60,1972,57,Female,White
61,1972,39,Male,White
62,1972,62,Female,White
63,1972,51,Male,White
64,1972,43,Male,White
65,1972,39,Male,White
66,1972,52,Female,White
67,1972,30,Male,White
68,1972,47,Female,White
69,1972,31,Female,White
70,1972,25,Male,White
71,1972,45,Male,White
72,1972,30,Female,White
73,1972,68,Male,White
74,1972,63,Female,White
75,1972,19,Male,White
76,1972,23,Male,White
77,1972,46,Female,White
78,1972,55,Female,White
79,1972,22,Male,White
80,1972,55,Female,White
81,1972,44,Male,White
82,1972,41,Female,White
83,1972,49,Male,White
84,1972,28,Female,White
85,1972,21,Male,White
86,1972,26,Male,White
87,1972,31,Female,White
88,1972,28,Female,White
89,1972,26,Male,White
90,1972,20,Female,Black
91,1972,25,Male,White
92,1972,57,Female,White
93,1972,58,Female,White
94,1972,54,Male,White
95,1972,35,Female,White
96,1972,40,Male,White
97,1972,57,Male,White
98,1972,64,Female,White
99,1972,34,Male,White
100,1972,25,Female,White
101,1972,28,Male,White
102,1972,41,Male,White
103,1972,36,Female,White
104,1972,31,Male,White
105,1972,45,Male,White
106,1972,74,Female,White
107,1972,64,Female,White
108,1972,23,Female,White
109,1972,27,Female,White
110,1972,42,Male,White
111,1972,47,Male,Black
112,1972,26,Male,Black
113,1972,34,Female,White
114,1972,52,Male,White
115,1972,24,Male,White
116,1972,36,Female,White
117,1972,25,Male,Black
118,1972,46,Female,Black
119,1972,54,Female,Black
120,1972,27,Female,Black
121,1972,20,Female,Black
122,1972,53,Male,Black
123,1972,47,Male,Black
124,1972,70,Male,Black
125,1972,69,Female,White
126,1972,49,Female,White
127,1972,29,Female,White
128,1972,48,Female,White
129,1972,67,Female,White
130,1972,22,Male,White
131,1972,75,Male,White
132,1972,38,Male,White
133,1972,46,Male,White
134,1972,63,Female,White
135,1972,34,Female,White
136,1972,57,Male,White
137,1972,22,Female,White
138,1972,46,Male,White
139,1972,73,Female,White
140,1972,73,Male,White
141,1972,53,Male,White
142,1972,84,Female,White
143,1972,27,Male,White
144,1972,69,Female,White
145,1972,82,Female,White
146,1972,67,Female,White
147,1972,41,Male,White
148,1972,72,Male,White
149,1972,38,Male,White
150,1972,59,Female,White
151,1972,42,Male,White
152,1972,48,Male,White
153,1972,59,Female,White
154,1972,39,Female,White
155,1972,49,Female,White
156,1972,33,Female,White
157,1972,53,Female,White
158,1972,30,Female,White
